date,id,transect,num,canopy,gps_id,note,surveyor
2022-08-31,DSCN6485.JPG,,,,12,EC low,"ac, mh"
2022-08-31,DSCN6486.JPG,,,,13,Trough 1,"ac, mh"
2022-08-31,DSCN6487.JPG,,,,14,Trough 2,"ac, mh"
2022-08-31,DSCN6488.JPG,,,,14,Trough 2,"ac, mh"
2022-08-31,DSCN6489.JPG,,,,15,Trough 3,"ac, mh"
2022-08-31,DSCN6490.JPG,,,,15,Trough 3,"ac, mh"
2022-08-31,DSCN6491.JPG,,,,15,Trough 3,"ac, mh"
2022-08-31,DSCN6492.JPG,,,,16,TB1,"ac, mh"
2022-08-31,DSCN6493.JPG,,,,17,TB2,"ac, mh"
2022-08-31,DSCN6494.JPG,,,,18,TB3,"ac, mh"
2022-08-31,DSCN6495.JPG,,,,19,TB4,"ac, mh"
2022-08-31,DSCN6496.JPG,,,,20,SR50,"ac, mh"
2022-08-31,DSCN6497.JPG,T1,1,E,21,,"ac, mh"
2022-08-31,DSCN6497.JPG,T1,1,M,22,,"ac, mh"
2022-08-31,DSCN6498.JPG,T1,2,O,23,,"ac, mh"
2022-08-31,DSCN6499.JPG,T1,3,E,24,,"ac, mh"
2022-08-31,DSCN6499.JPG,T1,3,M,25,,"ac, mh"
2022-08-31,DSCN6500.JPG,T1,4,O,26,,"ac, mh"
2022-08-31,DSCN6501.JPG,T1,5,E,27,,"ac, mh"
2022-08-31,DSCN6501.JPG,T1,5,M,28,,"ac, mh"
2022-08-31,DSCN6502.JPG,T1,6,O,30,,"ac, mh"
2022-08-31,DSCN6503.JPG,T1,7,E,31,,"ac, mh"
2022-08-31,DSCN6503.JPG,T1,7,M,32,,"ac, mh"
2022-08-31,DSCN6504.JPG,T1,8,O,33,,"ac, mh"
2022-08-31,DSCN6505.JPG,T1,9,E,34,,"ac, mh"
2022-08-31,DSCN6505.JPG,T1,9,M,35,,"ac, mh"
2022-08-31,DSCN6506.JPG,T1,,,,bad img,"ac, mh"
2022-08-31,DSCN6507.JPG,T1,10,E,36,,"ac, mh"
2022-08-31,DSCN6507.JPG,T1,10,M,37,,"ac, mh"
2022-08-31,DSCN6508.JPG,T1,11,O,38,,"ac, mh"
2022-08-31,DSCN6509.JPG,T1,12,M,,hanging tree,"ac, mh"
2022-08-31,DSCN6510.JPG,T1,13,E,39,,"ac, mh"
2022-08-31,DSCN6510.JPG,T1,13,M,40,,"ac, mh"
2022-08-31,DSCN6511.JPG,T1,14,O,41,,"ac, mh"
2022-08-31,DSCN6512.JPG,T1,15,E,42,,"ac, mh"
2022-08-31,DSCN6512.JPG,T1,15,M,43,,"ac, mh"
2022-08-31,DSCN6513.JPG,T1,16,O,44,,"ac, mh"
2022-08-31,DSCN6514.JPG,T1,,,45,chione,"ac, mh"
2022-08-31,DSCN6515.JPG,T1,17,O,46,,"ac, mh"
2022-08-31,DSCN6516.JPG,T1,18,O,47,,"ac, mh"
2022-08-31,DSCN6517.JPG,T1,19,E,48,,"ac, mh"
2022-08-31,DSCN6517.JPG,T1,19,M,49,,"ac, mh"
2022-08-31,DSCN6518.JPG,T1,20,O,50,,"ac, mh"
2022-08-31,DSCN6519.JPG,T1,21,O,51,,"ac, mh"
2022-08-31,DSCN6520.JPG,T1,22,E,52,,"ac, mh"
2022-08-31,DSCN6520.JPG,T1,22,M,53,,"ac, mh"
2022-08-31,DSCN6521.JPG,T1,23,O,54,,"ac, mh"
2022-08-31,DSCN6522.JPG,T1,24,E,55,,"ac, mh"
